EHTOKOODI;EHTO;EHTOR
E345;Hoito tulee aloittaa syövän hoitoon tarkoitettujen lääkevalmisteiden antamiseen perehtyneen lääkärin valvonnassa.;Behandlingen ska initieras under övervakning av läkare med erfarenhet av administrering av cancerläkemedel.
E357;Hoito tulee aloittaa ja sitä tulee seurata nivelreuman, juveniilin idiopaattisen artriitin, psoriaasiartriitin, selkärankareuman, aksiaalisen spondylartriitin (ilman radiografista näyttöä selkärankareumasta), läiskäpsoriaasin tai lapsilla esiintyvän läiskäpsoriaasin diagnosointiin ja hoitoon perehtyneen erikoislääkärin valvonnassa.;Behandling bör initieras och övervakas av specialist med erfarenhet av diagnos och behandling av reumatoid artrit, juvenil idiopatisk artrit, psoriasisartrit, ankyloserande spondylit, ickeradiografisk axial spondylartrit, plaquepsoriasis samt plaquepsoriasis hos barn och ungdomar.
E359;Valmisteen avulla tehtävän tutkimuksen voivat määrätä lääkärit, joilla on kokemusta neurodegeneratiivisten sairauksien kliinisestä hoitamisesta.;Undersökning med preparatet bör endast ordineras av läkare med erfarenhet av klinisk behandling av neurodegenerativa sjukdomar.
E364;Valmistetta saavat määrätä ainoastaan porfyrian hoitoon perehtyneet erikoislääkärit.;Preparatet bör endast förskrivas av specialistläkare med erfarenhet av behandling av porfyri.
E379;Vain sairaalakäyttöön. Hoidon saa aloittaa ja sitä saa jatkaa vain sellaisen lääkärin johdolla, jolla on kokemusta opioidihoidosta.;Endast för sjukhusbruk. Behandling får initieras och fortsätta enbart under vägledning av läkare med erfarenhet av opioidbehandling.
E406;Valmistetta saa antaa vain terveydenhoitoalan ammattilainen hyväksytyn käyttöaiheen hoitoon perehtyneen lääkärin valvonnassa.;Preparatet måste administreras av vårdpersonal och under överinseende av en läkare som har erfarenhet av att behandla patienter med de sjukdomstillstånd som preparatet är indicerat för.
E407;Hoidon aloittavan ja sitä valvovan lääkärin tulee olla perehtynyt ruoansulatuskanavan häiriöiden diagnosointiin ja hoitoon.;Behandlingen ska inledas och övervakas av läkare med erfarenhet av diagnostik och behandling av gastrointestinala störningar.
E412;Hoito aloitetaan ja toteutetaan neurologisten sairauksien diagnosointiin ja hoitoon perehtyneen erikoislääkärin valvonnassa yksikössä, jossa on tarvittavat valmiudet vaikeiden haittavaikutusten, kuten vakavien infuusioreaktioiden, hoitamiseen.;Behandling bör initieras och övervakas av specialistläkare med erfarenhet av diagnostik och behandling av neurologiska sjukdomar och som har tillgång till lämpliga medicinska resurser för att hantera svåra reaktioner såsom allvarliga infusionsrelaterade reaktioner (IRR).
E290;Hoito aloitetaan harvinaisten verenvuototautien hoitoon perehtyneen lääkärin valvonnassa.;Behandlingen bör påbörjas i samråd med en läkare med erfarenhet av behandling av sällsynta blödningsstörningar.
E414;Suositellaan, että lääkettä määrää vain tarkkaavaisuus- ja ylivilkkaushäiriön (ADHD) hoitoon perehtynyt lastentautien, lastenpsykiatrian, nuorisopsykiatrian, lastenneurologian, psykiatrian tai neurologian erikoislääkäri.;Det rekommenderas, att preparatet får ordineras endast av specialister i barnsjukdomar, barnpsykiatri, ungdomspsykiatri, barnneurologi, psykiatri eller neurologi som har erfarenhet vid behandling av uppmärksamhets- och hyperaktivitetsstörning (ADHD).
E295;Hoidon aloittavan ja hoitoa seuraavan lääkärin tulee olla perehtynyt syöpälääkkeiden käyttöön.;Behandling med preparatet ska inledas och övervakas av läkare med erfarenhet av behandling med cancerläkemedel.
E373;Ensimmäiset infuusiot on annettava sellaisen terveydenhuollon ammattilaisen ohjauksessa, jolla on kokemusta alfa1-proteinaasinestäjän puutoksen hoidosta.;De första infusionerna ska administreras under övervakning av sjukvårdspersonal med erfarenhet av behandling av alfa-1-proteinashämmarbrist.
E292;Valmistetta saavat käyttää vain asiantuntijat, joilla on kokemusta in vitro -radioleimauksesta.;Preparatet ska endast användas av specialister med erfarenhet av in vitro-radiomärkning.
E293;Hoito tulee aloittaa kemoterapeuttisten aineiden käyttöön perehtyneen lääkärin valvonnassa.;Administrering av preparatet skall påbörjas under övervakning av läkare med erfarenhet av cytostatika användning.
E303;Valmistetta saa antaa ainoastaan sairaalaolosuhteissa hoitoalan ammattilaisen valvonnassa. Saatavilla on oltava lyhytvaikutteinen beeta-agonisteihin kuuluva bronkodilataattori mahdollisten vakavien hengitystiehaittavaikutusten (bronkospasmin) hoitamiseksi.;Preparatet ska endast administreras i sjukhusmiljö under övervakning av hälso- och sjukvårdspersonal. Kortverkande bronkdilaterande beta-agonist-behandling ska finnas tillgänglig för behandling av eventuella allvarliga respiratoriska biverkningar (bronkospasm).
E304;Hoidon aloittavan ja sitä valvovan erikoislääkärin on oltava perehtynyt vakavan refraktaarisen kroonisen kihdin diagnosointiin ja hoitoon.;Behandling ska inledas och övervakas av specialistläkare med erfarenhet av att ställa diagnos och behandla allvarlig refraktär kronisk gikt.
E312;Valmiste on tarkoitettu vain autologiseen käyttöön. Valmisteen saa implantoida vain kirurgi, joka on saanut erityisen koulutuksen ja pätevyyden valmisteen käyttöön.;Preparatet är endast avsett för autolog användning. Preparatet måste administreras av en kirurg som är utbildad i och kvalificerad för användning av preparatet.
E320;Lääkevalmiste tulee annostella syöpälääkkeiden käyttöön perehtyneen lääkärin valvonnassa, jolla on mahdollisuus seurata kliinisiä, hematologisia ja biokemiallisia parametrejä hoidon kuluessa ja sen jälkeen.;Preparatet får bara administreras av läkare som är väl insatta i användningen av antineoplastiska medel och som har den utrustning som krävs för att regelbundet övervaka kliniska, hematologiska och biokemiska parametrar under och efter behandling.
E321;Kasvuhormonin vajauksen diagnoosin saavat tehdä ja hoidon tällä lääkevalmisteella aloittaa ja sitä valvoa lääkärit, jotka riittävästi perehtyneet kasvuhormonin vajausta sairastavien potilaiden diagnosointiin ja hoitoon.;Diagnos och behandling med detta läkemedel ska initieras och övervakas av läkare med adekvat erfarenhet av diagnostisering och behandling av patienter med tillväxthormonbrist (GHD).
E325;Valmiste on annettava eturauhassyövän lääkehoidosta kokemusta omaavan lääkärin valvonnassa paikassa, jossa on saatavilla elvytysvälineet.;Preparatet måste administreras under övervakning av en läkare med erfarenhet av den medicinska behandlingen av prostatacancer och i en miljö där tillgång till utrustning för återupplivning måste vara säkerställd.
E327;Gastroenterologin/maksasairauksiin perehtyneen erikoislääkärin tai lapsipotilaiden osalta lasten gastroenterologin/maksasairauksiin perehtyneen erikoislääkärin on aloitettava hoito ja valvottava sitä.;Behandling måste påbörjas och övervakas av en gastroenterolog/hepatolog med erfarenhet av sådan behandling eller barngastroenterolog/barnhepatolog när det gäller pediatriska patienter.
E332;Valmiste tarkoitettu käytettäväksi psoriaasin tai nivelpsoriaasin diagnosointiin ja hoitoon perehtyneen lääkärin ohjauksessa ja seurannassa.;Preparatet är avsett att användas under vägledning och övervakning av läkare med erfarenhet från diagnostik och behandling av psoriasis eller psoriasisartrit.
E333;Tätä lääkevalmistetta saa määrätä vain toimipaikoissa, joissa on annettu Medtronicin virallisesti hyväksymä asianmukainen koulutus implantoitavan Medtronic MiniMed -pumpun käyttöön.;Förskrivning av detta läkemedel är begränsad till sjukvårdsinrättningar som har certifierats av Medtronic efter att ha fått tillräcklig utbildning i användningen av Medtronics implanterbara MiniMed Pump.
E335;Infuusiot on annettava kokeneen lääkärin valvonnassa ja sellaisessa hoitopaikassa, jossa kaikki potilaan elvyttämiseen tarvittavat välineet ovat välittömästi saatavilla.;Infusioner ska administreras under noggrann övervakning av en erfaren läkare och i en miljö där det finns omedelbar tillgång till fullständig återupplivningsutrustning.
E337;Tuotetta saavat määrätä ja antaa potilaalle ainoastaan erikoislääkärit, joilla on kokemusta hematopoieettisten kantasolujen siirtohoitojen komplikaatioiden diagnosoinnista ja hoidosta.;Preparatet får endast förskrivas och administreras till patienter av specialistläkare med erfarenhet av diagnostik och behandling av komplikationer av hematopoetisk stamcellstransplantation.
E341;HIV-infektion hoitoon perehtyneen lääkärin tulee määrätä lääkehoito.;Läkemedlet ska förskrivas av läkare med erfarenhet av behandling av hiv-infektion.
E350;Valmisteen saa asettaa vain lääkäri tai hoitoalan ammattilainen lääkärin valvonnassa.;Preparatet får appliceras endast av en läkare eller sjukvårdspersonal under läkarens överinseende.
E353;Pätevän terveydenhuollon ammattilaisen pitää antaa tämä lääkevalmiste lääkärin asianmukaisessa valvonnassa.;Detta läkemedel bör administreras av utbildad sjukvårdspersonal och under lämplig medicinsk övervakning.
E354;Hoito tulee aloittaa ja sitä tulee seurata haavaisen paksusuolitulehduksen tai Crohnin taudin diagnosointiin ja hoitoon perehtyneen erikoislääkärin valvonnassa.;Behandling med läkemedlet ska sättas in och övervakas av en specialistläkare med erfarenhet av diagnosticering och behandling av ulcerös kolit och Crohns sjukdom.
E288;Vain neurologian erikoislääkäreiden määräyksellä tai neurologian alan sairaalayksikön lääkärin määräyksellä tai näiden aloittamaan jatkohoitoon.;Endast mot recept utfärdade av specialister i neurologi eller av läkare från en neurologisk sjuksenhet eller som fortsättning till behandling påbörjad av ovannämnda läkare.
E314;Valmistetta saavat määrätä vain hyväksytyn käyttöaiheen hoitoon perehtyneet erikoislääkärit tai heidän valvonnassaan toimivat lääkärit.;Preparatet ska endast förskrivas av eller under överinseende av en specialistläkare som har erfarenhet av behandling av den godkända indikationen.
E331;Valmisteen käyttö on rajoitettu kokeneiden kirurgien käyttöön.;Användning av preparatet är begränsad till erfarna kirurger.
E342;Florbetabeeni (18F) -PET-kuvaus tulisi tehdä neurodegeneratiivisten sairauksien hoitoon perehtyneen lääkärin lähetteen perusteella.;En PET-undersökning med florbetaben (18F) bör ordineras av läkare med erfarenhet av klinisk behandling av neurodegenerativa sjukdomar.
E343;Hoito on aloitettava ja toteutettava monilääkeresistentin Mycobacterium tuberculosis -infektion hoitoon perehtyneen lääkärin valvonnassa.;Behandling bör påbörjas och övervakas av läkare med erfarenhet av multiresistent Mycobacterium tuberculosis.
E352;Hoidon tulee tapahtua MPS IVA:n tai muiden perinnöllisten aineenvaihduntasairauksien hoitoon perehtyneen lääkärin valvonnassa.;Behandling bör övervakas av läkare med erfarenhet av behandling av patienter med MPS IVA eller andra ärftliga metaboliska sjukdomar.
E356;Valmiste pitää antaa kokeneen lääkärin tarkassa valvonnassa hoitopaikassa, jossa kaikki elvytysvälineet ovat heti saatavissa.;Preparatet ska administreras under noggrann övervakning av en erfaren läkare och i en miljö där det finns omedelbar tillgång till fullständig återupplivningsutrustning.
E358;Hoidon saa aloittaa vain erikoislääkäri, jolla on kokemusta Duchennen tai Beckerin lihasdystrofian hoidosta.;Behandling ska endast sättas in av specialistläkare med erfarenhet av behandling av Duchenne eller Beckers muskeldystrofi.
E361;Hoidon saa aloittaa vain pulmonaalihypertension hoitoon perehtynyt lääkäri.;Behandling ska endast inledas av läkare med erfarenhet av att behandla pulmonell arteriell hypertension.
E365;Valmistetta saa antaa vain, kun anafylaktisten reaktioiden arviointiin ja hoitamiseen koulutettua henkilökuntaa on välittömästi saatavilla ja täysi elvytysvalmius voidaan varmistaa.;Preparatet ska endast administreras när personal som är utbildad i att bedöma och hantera anafylaktiska reaktioner finns tillhands, i lokaler där utrustning för återupplivning garanterat är tillgängliga.
E368;1.) Asiakkaalle luovutetaan vain yksi (1 tabletin) pakkaus kerrallaan. 2.) Valmistetta luovutettaessa on apteekin farmaseuttisen henkilökunnan annettava asiakkaalle myyntiluvan haltijan toimittaman kirjallisen materiaalin mukaista lääkeneuvontaa.;1.) Endast en förpackning (1 tablett) skall överlåtas till kunden på en gång. 2.) Innan läkemedelspreparatet kan överlåtas till kunden, skall apotekets farmaceutiska personal informera kunden enligt den läkemedelsinformation som innehavare av försäljningstillståndet har erbjudit.
E369;1.) Asiakkaalle luovutetaan vain yksi (2 tabletin) pakkaus kerrallaan. 2.) Valmistetta luovutettaessa on apteekin farmaseuttisen henkilökunnan annettava asiakkaalle myyntiluvan haltijan toimittaman kirjallisen materiaalin mukaista lääkeneuvontaa.;1.) Endast en förpackning (2 tabletter) skall överlåtas till kunden på en gång. 2.) Innan läkemedelspreparatet kan överlåtas till kunden, skall apotekets farmaceutiska personal informera kunden enligt den läkemedelsinformation som innehavare av försäljningstillståndet har erbjudit.
E376;Hoito on aloitettava lasten ja/tai nuorten käytöshäiriöihin erikoistuneen asiantuntijan valvonnassa.;Behandlingen måste påbörjas under överinseende av lämplig specialist på beteendestörningar hos barn och/eller ungdomar.
E378;Hoidon saa aloittaa vain lääkäri, jolla on kokemusta aineenvaihdunta- tai luusairauksien hoidosta.;Behandling ska initieras av läkare med erfarenhet av behandling av patienter med metabola eller skelettsjukdomar.
E367;Valmistetta saa antaa vain sairaaloissa silmäkirurgiaan perehtyneen erikoislääkärin toimesta.;Preparatet ska administreras av en kvalificerad kirurg med ändamålsenlig utbildning och får endast användas på sjukhus.
E355;Kryopyriiniin liittyvissä oireyhtymissä, tuumorinekroositekijään liittyvässä jaksoittaisessa oireyhtymässä, hyperimmunoglobulinemia D -oireyhtymässä / mevalonaattikinaasin vajauksessa, perinnöllisessä Välimeren kuumeessa ja Stillin taudissa hoito on aloitettava ja toteutettava kyseenomaisen käyttöaiheen diagnosoinnista ja hoidosta kokemusta saaneen erikoislääkärin seurannassa. Kihtiartriitin hoidossa lääkärillä tulee olla kokemusta biologisten lääkkeiden käytöstä ja terveydenhuollon ammattilaisen on annosteltava valmiste potilaalle.;För CAPS, TRAPS, HIDS/MKD, FMF och Stills sjukdom bör behandlingen initieras och övervakas av en specialistläkare med erfarenhet av diagnostisering och behandling av den aktuella indikationen. För giktartrit bör läkaren ha erfarenhet av användning av biologiska läkemedel, och läkemedlet ska administreras av sjukvårdspersonal.
E324;Valmistetta saavat määrätä sellaiset lääkärit, joilla on kokemusta syöpälääkkeiden antamisesta.;Preparatet ska förskrivas av läkare som har erfarenhet av behandling med antineoplastiska läkemedel.
E340;Hoitoon perehtyneen lääkärin tulee aloittaa hoito ja seurata sitä.;Behandling bör inledas och följas av specialist med lämplig erfarenhet.
E346;Hoidon saa aloittaa vain vaikean ja jatkuvan astman tai kroonisen spontaanin urtikarian diagnosointiin ja hoitoon perehtynyt lääkäri.;Behandling skall initieras av läkare med erfarenhet av diagnostisering och behandling av svår astma eller kronisk spontan urtikaria.
E347;Käyttöaiheissa mainittujen entsyyminpuutossairauksien hoitoon perehtyneen lääkärin tai lastenlääkärin on aloitettava hoito ja valvottava sitä.;Behandling måste påbörjas och övervakas av läkare eller pediatriker, med erfarenhet av att behandla de specifika bristerna.
E348;Valmiste on annettava kokeneen terveydenhuollon ammattilaisen valvonnassa sellaisessa hoitopaikassa, jossa kaikki potilaan elvyttämiseen tarvittavat välineet ovat välittömästi saatavilla.;Preparatet ska administreras under noggrann övervakning av en erfaren sjukvårdspersonal och i en miljö där det finns omedelbar tillgång till fullständig återupplivningsutrustning.
E362;Valmistetta saavat antaa vain koulutetut terveydenhuollon ammattilaiset, joilla on teknistä asiantuntemusta vartijaimusolmukkeiden kartoituksen tekemisessä ja tulkitsemisessa.;Läkemedlet får endast administreras av utbildad hälso- och sjukvårdspersonal med teknisk expertis vad gäller att utföra och tolka kartläggningen av portvaktskörtlar.
E366;Hoidon saa aloittaa erikoislääkäri, jolla on kokemusta psoriaasin tai psoriaasiartriitin diagnosoinnista ja hoidosta.;Behandling ska initieras av specialister med erfarenhet av diagnos och behandling av psoriasis eller psoriasisartrit.
E377;Valmistetta voidaan antaa vain sairaalaolosuhteissa. Valmistetta voivat määrätä ainoastaan lääkärit, jotka hallitsevat opioidihoidon erityispiirteet, erityisesti opioidien haittavaikutukset, kuten hengityslaman.;Preparatet får endast administreras i sjukhusregi. Preparatet får endast ordineras av läkare med erfarenhet av hantering av opioidbehandling, i synnerhet av biverkningar av opioider såsom andningsdepression.
E385;Hoito tulee aloittaa ja sitä tulee seurata aikuispotilaiden nivelreuman, psoriaasiartriitin, selkärankareuman, aksiaalisen spondylartriitin (ilman radiografista näyttöä selkärankareumasta) sekä läiskäpsoriaasin diagnosointiin ja hoitoon perehtyneen erikoislääkärin valvonnassa.;Behandling bör initieras och övervakas av specialist med erfarenhet av diagnos och behandling av vuxenpatienters reumatoid artrit, psoriasisartrit, ankyloserande spondylit, ickeradiografisk axial spondylartrit samt plaquepsoriasis.
E386;Valmistetta saavat määrätä ja antaa vain sellaiset lääkärit ja terveydenhuollon ammattilaiset, jotka ovat perehtyneet antineoplastisten valmisteiden käyttöön. Valmistetta saa antaa vain sairaalassa, jossa on asianmukaiset elvytyslaitteet.;Preparatet bör förskrivas och administreras av läkare och sjukvårdspersonal med erfarenhet av användning av antineoplastiska läkemedel. Det får endast ges i sjukhusmiljö där lämplig återupplivningsutrustning finns tillgänglig.
E390;Valmiste on annettava erikoistuneessa elinsiirtokeskuksessa, ja sen voi antaa vain lääkäri, jolla on aikaisempaa kokemusta ADA-SCID-potilaiden hoidosta ja autologisten CD34+ ex vivo geeniterapiavalmisteiden käytöstä.;Preparatet måste administreras på ett specialiserat transplantationscentrum av läkare med tidigare erfarenhet av behandling och vård av patienter med ADA-SCID och användning av autologa CD34+-produkter för genterapi ex vivo.
E397;Valmistetta luovutettaessa on apteekin farmaseuttisen henkilökunnan annettava asiakkaalle myyntiluvan haltijan toimittama potilaskortti.;Innan läkemedelspreparatet kan överlåtas till kunden, skall apotekets farmaceutiska personal ge kunden det patientkort, som innehavare av försäljningstillstånd har erbjudit.
E393;Valmistetta saa antaa vain sellaisen lääkärin valvonnassa, jolla on kokemusta hematopoieettisesta kantasolusiirrosta hematologisten maligniteettien hoidossa.;Preparatet måste administreras under överinseende av en läkare med erfarenhet av HSCT för hematologiska maligniteter.
E399;Hoidon voi aloittaa ja sitä voi valvoa vain lääkäri, jolla on kokemusta CTX:n hoidosta tai primaaristen sappihappojen synteesin synnynnäisten häiriöiden hoidosta.;Behandling ska initieras och övervakas av läkare med erfarenhet av att behandla CTX eller medfödda fel i syntesen av primära gallsyror.
E405;Hoidon saa aloittaa nivelreuman ja/tai jättisoluarteriitin diagnosointiin ja hoitoon perehtynyt lääkäri.;Behandling ska initieras av läkare med erfarenhet av diagnos och behandling av reumatoid artrit och/eller jättecellsarterit.
E302;Tämä valmiste on reseptilääke, jonka määräämiseen liittyy rajoitus, ja hoidon saa aloittaa vain syöpälääkkeiden käyttöön perehtyneen lääkärin valvonnassa. Valmisteen antajan tulee olla terveydenhuollon ammattilainen, jolla on valmius anafylaksian hoitoon, ja ensiapuvälineiden on oltava saatavilla.;Det här läkemedlet är föremål för begränsad medicinsk förskrivning och behandling bör endast initieras under överinseende av läkare som har erfarenhet av administrering av cancerläkemedel. Läkemedlet bör administreras av sjukvårdspersonal med beredskap att hantera anafylaxi och på en plats där omedelbar återupplivningshjälp finns tillgänglig.
E463;Neurologisten sairauksien hoitoon perehtyneen lääkärin on aloitettava hoito.;Behandling ska initieras av en läkare med erfarenhet av behandling av neurologiska sjukdomar.
E464;Hoidon saa aloittaa vain aikuispotilaiden kasvuhormonin vajauksen diagnosointiin ja hoitoon tarvittavan pätevyyden omaava ja perehtynyt lääkäri (kuten endokrinologi), ja hoidon on tapahduttava tällaisen lääkärin valvonnassa.;Behandlingen ska initieras och övervakas av läkare med relevant kompetens och erfarenhet av diagnostik och behandling av vuxna patienter med brist på tillväxthormon (till exempel endokrinologer).
E286;Hoidon aloitusannos tulee ottaa sellaisen kokeneen lääkärin tai muun terveydenhoidon ammattilaisen valvonnassa ja seurannassa, jolla on asianmukainen koulutus ja varusteet spirometrian tekemiseen, happisaturaation seuraamiseen ja akuutin bronkospasmin hoitoon, mukaan luettuna elvytysvarusteiden asianmukainen käyttö.;Patientens insättningsdos av läkemedel måste sättas in under överinseende och övervakning av en erfaren läkare eller annan sjukvårdspersonal med rätt utbildning och utrustning för att genomföra spirometri, övervaka syremättnad och hantera akut bronkospasm, inklusive lämplig användning av återupplivningsutrustning.
E287;Vain laskimoon annettavien bisfosfonaattien antoon perehtynyt terveydenhuollon henkilöstö saa antaa ja määrätä potilaille valmistetta.;Läkemedlet får endast förskrivas och administreras till patienter av sjukvårdspersonal som har erfarenhet av intravenös administrering av bisfosfonater.
E291;Valmistetta määräävän lääkärin tulee olla perehtynyt aivokasvainten onkologiseen hoitoon.;Medicinpreparat ska endast förskrivas av läkare med erfarenhet av onkologisk behandling av hjärntumörer.
E297;Valmistetta saa antaa lääkäri, jolla on kokemusta lasiaiseen annettavista injektioista.;Preparatet får bara administreras av en kvalificerad läkare med erfarenhet av administrering av intravitreala injektioner.
E313;Hoito on aloitettava keuhkovaltimoiden verenpainetaudin tai systeemisen skleroosin hoitoon perehtyneen lääkärin määräyksestä ja valvonnassa.;Behandling skall endast inledas och monitoreras av läkare med erfarenhet av att behandla systemisk skleros eller pulmonell arteriell hypertension.
E344;Hoidon saa aloittaa vain kroonisen tromboembolisen keuhkoverenpainetaudin tai keuhkovaltimoiden verenpainetaudin hoitoon perehtyneen lääkärin määräyksestä ja toteuttaa hänen valvonnassaan.;Behandling ska endast initieras och följas upp av läkare med erfarenhet av behandling av kronisk tromboembolisk pulmonell hypertension eller pulmonell arteriell hypertension.
E363;Hoidon saa aloittaa ja sitä saa valvoa endokrinologiaan tai sisätauteihin erikoistunut lääkäri, jolla on käytössään tarvittavat laitteet biokemiallisen vasteen seurantaan, sillä annosta on säädettävä potilaan hoitotarpeen mukaan kortisolipitoisuuden normalisoitumiseen perustuen.;Behandling bör inledas och övervakas av läkare som har erfarenhet av endokrinologi eller internmedicin och har lämpliga faciliteter för övervakning av biokemiska svar eftersom dosen måste justeras för att motsvara patientens terapeutiska behov, baserat på normaliseringen av kortisolnivåer.
E372;Vain sairaalakäyttöön. Valmistetta tulee käyttää vain syövän hoitoon perehtyneen lääkärin valvonnassa.;Endast för sjukhusbruk. Preparatet bör administreras under överinseende av läkare med erfarenhet av cancerbehandling.
E375;Hoidon saa aloittaa lääkäri, jolla on kokemusta Leberin taudista, ja hänen tulee myös valvoa hoitoa.;Behandling ska inledas och övervakas av en läkare med erfarenhet av Lebers hereditära optikusneuropati.
E380;Valmistetta luovutettaessa on apteekin farmaseuttisen henkilökunnan annettava asiakkaalle myyntiluvan haltijan toimittaman kirjallisen materiaalin mukaista lääkeneuvontaa (lisäneuvontaa vaativa itsehoitolääke).;Innan läkemedelspreparatet kan överlåtas till kunden, skall apotekets farmaceutiska personal informera kunden enligt den läkemedelsinformation som innehavare av försäljningstillståndet har erbjudit (egenvårdsläkemedel som kräver tilläggsrådgivning).
E381;Hoito on aloitettava unihäiriöiden hoitoon perehtyneen lääkärin valvonnassa.;Behandling bör påbörjas av läkare med erfarenhet av behandling av sömnstörningar.
E383;Hoitoa saavat määrätä vain vaikean hoitoresistentin eosinofiilisen astman diagnosointiin ja hoitoon perehtyneet lääkärit.;Preparatet bör förskrivas av läkare med erfarenhet av diagnos och behandling av allvarlig refraktär eosinofil astma.
E395;Valmistetta saavat määrätä vain lääkärit, jotka ovat perehtyneet lääkevalmisteen eri ominaisuuksiin ja sen vaikutustapaan.;Preparatet ska endast förskrivas av läkare med erfarenhet av läkemedlets olika egenskaper och dess verkningssätt.
E400;Hoidon aloittavan ja seurannasta vastaavan lääkärin on oltava perehtynyt hepatiitti C -infektion hoitoon.;Behandlingen bör initieras och övervakas av en läkare med erfarenhet av behandling av hepatit C-infektion.
E409;Hoito tulee aloittaa ja sitä tulee seurata multippelin myelooman (MM) hoitoon perehtyneiden lääkäreiden valvonnassa. Lääkkeen määrääminen ja toimittaminen naisille, jotka voivat tulla raskaaksi, on rajoitettu 30 päivän lääkitykseen yhdellä reseptillä, ja hoidon jatkaminen vaatii uuden lääkemääräyksen. Naisille, jotka voivat tulla raskaaksi, kirjoitettu lääkemääräys on voimassa seitsemän (7) päivää lääkemääräyksen kirjoittamisesta.;Behandlingen måste inledas och övervakas under överinseende av läkare med erfarenhet av behandling av multipelt myelom (MM). Förskrivning och expediering av läkemedlet åt fertila kvinnor begränsas till behandling för 30 dygn med ett och samma recept, och fortsatt behandling förutsätter ett nytt recept. Recept som utfärdats åt fertila kvinnor är i kraft i sju (7) dygn från och med förskrivningsdatum.
E420;Hoidon saa aloittaa migreenin toteamiseen ja hoitoon perehtynyt lääkäri.;Behandling skall initieras av läkare med erfarenhet av diagnos och behandling av migrän.
E423;Hoidon voivat aloittaa vain epilepsian hoitoon perehtyneet lääkärit, neurologit tai lastenneurologit. Jälkiseuranta on järjestettävä epilepsian hoitoon erikoistuneen lääkärin, neurologin tai lastenneurologin valvonnassa.;Behandling får endast påbörjas av en specialistläkare inom epileptologi, neurologi eller barnneurologi. Uppföljning bör ske under överinseende av en specialistläkare inom epileptologi, neurologi eller barnneurologi.
E441;Hoidon saa aloittaa vain narkolepsian tai obstruktiivisen uniapnean hoitoon perehtynyt terveydenhuollon ammattilainen.;Behandling ska sättas in av läkare med erfarenhet av behandling av narkolepsi eller OSA.
E448;Hoitoa ei saa aloittaa, ennen kuin on konsultoitu lääkäriä, jolla on asianmukaista kokemusta infektiotautien hoidosta.;Bör användas endast efter konsultation med en läkare med lämplig erfarenhet av behandling av infektionssjukdomar.
E450;Hoito on aloitettava ja annettava kliinisissä keskuksissa spinaalista lihasatrofiaa sairastavien potilaiden hoitoon perehtyneen lääkärin valvonnassa.;Behandling ska initieras och administreras på kliniker och övervakas av en läkare med erfarenhet av behandling av patienter med SMA.
E452;Lääkettä voi käyttää vain kuten Sosiaali- ja terveysministeriön asetuksessa "opioidiriippuvaisten henkilöiden vieroitus-, korvaus- ja ylläpitohoidosta eräillä lääkkeillä" on säädetty ja niissä terveydenhuollon yksiköissä, joissa lääkkeen annostelee potilaalle terveydenhuollon henkilökunta. Sitä ei saa määrätä toimitettavaksi apteekista potilaalle.;Preparatet får användas endast enligt Social- och hälsovårdsministeriets förordning "om avgiftning och substitutionsbehandling av opioidberoende personer med vissa läkemedel" och på däri nämnda enheter, där läkemedlet administreras av sjukvårdspersonal. Läkemedlet får inte förskrivas för expediering på apotek till patienten.
E418;Glibenklamidisuspensiohoidon aloittavalla lääkärillä on oltava kokemusta neonataalidiabeteksen hoidosta.;Behandlingen ska inledas av läkare med erfarenhet av behandling av neonatal diabetes.
E433;Hoito on aloitettava ja sitä on jatkettava sellaisen lääkärin valvonnassa, jolla on kokemusta familiaalista kylomikronemiaa sairastavien potilaiden hoidosta.;Behandling ska initieras och övervakas av en läkare med erfarenhet av behandling av patienter med familjär kylomikronemi.
E436;Valmiste on tarkoitettu annettavaksi lutetium-(177Lu)-oksodotreotidi-PRRT-hoidon yhteydessä. Siksi valmisteen saa antaa ainoastaan terveysalan ammattilainen, jolla on kokemusta PRRT-hoidon annosta.;Preparatet är avsett för administrering med PRRT med lutetium(177Lu)oxodotreotid och ska därför endast administeras av en vårdgivare med erfarenhet av använding av PRRT.
E455;Hoidon saavat aloittaa Mycobacterium avium -kompleksin aiheuttaman ei-tuberkuloottisen keuhkosairauden hoitoon perehtyneet lääkärit, joiden tulee myös huolehtia hoidon antamisesta.;Behandling ska initieras och ges av läkare med erfarenhet av behandling av icke tuberkulös lungsjukdom orsakad av Mycobacterium avium komplex.
E419;Hoidon voivat aloittaa ja sitä voivat valvoa vain lääkärit, joilla on kokemusta kohdun sileälihaskasvainten (myoomien) diagnosoinnista ja hoidosta.;Behandlingen ska initieras och övervakas av läkare med erfarenhet av diagnostisering och behandling av myom i livmodern.
E440;Valmiste on annettava erikoistuneessa hoitoyksikössä lääkärin/lääkäreiden toimesta, jotka ovat perehtyneet hematopoieettiseen kantasolusiirtoon ja transfuusioriippuvaista beeta-talassemiaa sairastavien potilaiden hoitoon.;Preparatet måste ges på en specialklinik under överinseende av läkare med erfarenhet av stamcellstransplantation (HSCT) och behandling av patienter med TDT.
